lat,lon,acq_date,evi,air_temp_encoded,wind,humidity,elevation,kbdi,fire,source
34.56679,-118.15378,2026-06-03,0.16340000000000002,15372.5,0.0,12.0,882.0,210.02695563643408,1,firms_viirs
36.26221,-120.19181,2026-06-03,0.2736,15352.499999999998,0.0,12.0,115.828117371,246.7792372430446,0,sampled_nofire
33.83576,-114.32248,2026-06-03,0.1019,15627.499999999998,0.0,7.0,266.565734863,273.57249755714236,0,sampled_nofire
37.26445,-119.63437,2026-06-03,0.36910000000000004,14927.499999999998,0.0,33.0,1146.0,14.872949876371813,0,sampled_nofire
35.38816,-122.19273,2026-06-03,0.04754749888200746,14397.5,0.0,83.0,0.0,106.98471340574834,0,sampled_nofire
39.1324,-114.28683,2026-06-03,0.0942,15017.499999999998,0.0,12.0,2080.843994141,164.20931203009437,0,sampled_nofire
34.75659,-115.84725,2026-06-03,0.0821,15407.499999999998,0.0,6.0,816.931152344,226.7958761749367,0,sampled_nofire
41.59922,-119.2383,2026-06-03,0.1628,14827.499999999998,0.0,21.0,1908.0,81.31355664628248,0,sampled_nofire
37.19809,-114.31385,2026-06-03,0.11,15312.5,0.0,9.0,1254.632080078,223.57368471792813,0,sampled_nofire
37.37952,-114.51858,2026-06-03,0.1255,15267.499999999998,0.0,10.0,1406.576660156,190.381950757709,0,sampled_nofire
36.63739,-116.8559,2026-06-03,0.0526,15477.499999999998,0.0,8.0,778.134033203,221.29697806445225,0,sampled_nofire
37.11663,-116.65337,2026-06-03,0.0825,15277.499999999998,0.0,9.0,1369.168945312,194.00131202605792,0,sampled_nofire
39.55268,-117.61943,2026-06-03,0.0999,15087.5,0.0,12.0,1653.631958008,82.04725784889284,0,sampled_nofire
36.5401,-119.13775,2026-06-03,0.1401,15157.499999999998,0.0,29.0,362.663330078,205.22992322824763,0,sampled_nofire
35.08252,-120.01859,2026-06-03,0.23270000000000002,15397.5,0.0,17.0,424.0,212.7414150877455,0,sampled_nofire
40.82031,-114.25562,2026-06-05,0.0368,14402.499999999998,0.0,35.0,1697.126098633,177.31248415348202,1,firms_viirs
40.82443,-114.25521,2026-06-05,0.0492,14407.499999999998,0.0,31.0,1697.126098633,177.31248415348202,1,firms_viirs
36.35682,-114.91142,2026-06-05,0.0666,14992.499999999998,0.0,13.0,710.588867188,228.81697332522717,1,firms_viirs
38.17615,-119.98161,2026-06-05,0.26980000000000004,14382.499999999998,0.0,13.0,1870.593017578,59.10046632615659,1,firms_viirs
38.17702,-119.98301,2026-06-05,0.26580000000000004,14392.499999999998,0.0,13.0,1870.593017578,59.10046632615659,1,firms_viirs
39.621,-119.26328,2026-06-05,0.055,14382.499999999998,0.0,33.0,1260.522949219,116.23656958069719,1,firms_viirs
33.79254,-117.47511,2026-06-05,0.1071,14327.499999999998,0.0,98.0,372.839477539,202.62723871997085,1,firms_viirs
34.14349,-117.42766,2026-06-05,0.0869,14357.499999999998,0.0,96.0,507.990783691,202.62723871997085,1,firms_viirs
34.60656,-117.33791,2026-06-05,0.0468,14652.499999999998,0.0,26.0,833.0,214.03150353876774,1,firms_viirs
34.60996,-117.3381,2026-06-05,0.0472,14652.499999999998,0.0,26.0,833.0,214.03150353876774,1,firms_viirs
34.62106,-117.10014,2026-06-05,0.055400000000000005,14677.499999999998,0.0,20.0,1100.735595703,207.88294814762094,1,firms_viirs
36.10826,-119.32288,2026-06-05,0.262,14572.5,0.0,60.0,77.345848083,261.0651945373232,1,firms_viirs
36.41088,-119.34734,2026-06-05,0.1409,14587.5,0.0,69.0,91.738746643,219.10315595482157,1,firms_viirs
36.41116,-119.35112,2026-06-05,0.1583,14587.5,0.0,69.0,91.738746643,219.10315595482157,1,firms_viirs
32.35216,-116.59268,2026-06-05,0.10490000000000001,14342.499999999998,0.0,92.0,362.44140625,149.164430090234,1,firms_viirs
36.26221,-120.19181,2026-06-05,0.2736,14592.499999999998,0.0,47.0,115.828117371,254.29908212269822,0,sampled_nofire
33.83576,-114.32248,2026-06-05,0.1019,14962.5,0.0,16.0,266.565734863,279.65293640070416,0,sampled_nofire
37.26445,-119.63437,2026-06-05,0.36910000000000004,14587.5,0.0,39.0,1146.0,46.64163337165838,0,sampled_nofire
35.38816,-122.19273,2026-06-05,0.04754749888200746,14342.499999999998,0.0,88.0,0.0,106.97660916961847,0,sampled_nofire
39.1324,-114.28683,2026-06-05,0.0942,14407.499999999998,0.0,18.0,2080.843994141,168.0899113993546,0,sampled_nofire
34.75659,-115.84725,2026-06-05,0.0821,14787.5,0.0,18.0,816.931152344,231.76021030002784,0,sampled_nofire
40.82013,-114.25762,2026-06-06,0.046400000000000004,14702.499999999998,0.0,14.0,1697.126098633,181.51045255007668,1,firms_viirs
37.38922,-120.21478,2026-06-06,0.1645,14637.5,0.0,45.0,170.326873779,187.96645436208414,1,firms_viirs
37.39142,-120.20708,2026-06-06,0.1825,14647.5,0.0,45.0,170.326873779,187.96645436208414,1,firms_viirs
37.39608,-120.20676,2026-06-06,0.17420000000000002,14637.5,0.0,45.0,177.647079468,187.96645436208414,1,firms_viirs
37.39822,-120.19828,2026-06-06,0.1408,14642.499999999998,0.0,45.0,165.392242432,187.96645436208414,1,firms_viirs
33.79398,-117.4761,2026-06-06,0.1071,14367.499999999998,0.0,91.0,372.839477539,202.62723871997085,1,firms_viirs
34.60701,-117.33657,2026-06-06,0.0451,14612.5,0.0,34.0,833.0,227.01483632626187,1,firms_viirs
35.55222,-119.81843,2026-06-06,0.1524,14812.5,0.0,27.0,215.993942261,249.95381389643848,1,firms_viirs
35.66859,-119.35236,2026-06-06,0.3749,14712.5,0.0,36.0,87.210472107,261.96257051762996,1,firms_viirs
36.35478,-114.91322,2026-06-06,0.0811,15022.5,0.0,15.0,731.003601074,241.2808125145293,1,firms_viirs
36.36004,-114.91277,2026-06-06,0.055200000000000006,15037.5,0.0,15.0,710.588867188,241.2808125145293,1,firms_viirs
32.49816,-114.97954,2026-06-06,0.14830000000000002,14837.5,0.0,49.0,19.884401321,301.65877032161126,1,firms_viirs
32.56714,-115.52228,2026-06-06,0.1433,14852.499999999998,0.0,66.0,5.005652428,277.670469073639,1,firms_viirs
32.61163,-115.48721,2026-06-06,0.0621,14882.499999999998,0.0,59.0,8.9997015,277.670469073639,1,firms_viirs
36.26221,-120.19181,2026-06-06,0.2736,14717.499999999998,0.0,32.0,115.828117371,272.4517642761991,0,sampled_nofire
33.83576,-114.32248,2026-06-06,0.1019,15017.499999999998,0.0,14.0,266.565734863,296.3000829717743,0,sampled_nofire
37.26445,-119.63437,2026-06-06,0.36910000000000004,14587.5,0.0,41.0,1146.0,95.77153871609083,0,sampled_nofire
35.38816,-122.19273,2026-06-06,0.04754749888200746,14347.5,0.0,86.0,0.0,109.25638000817936,0,sampled_nofire
39.1324,-114.28683,2026-06-06,0.0942,14602.499999999998,0.0,12.0,2080.843994141,161.45890479190962,0,sampled_nofire
36.35478,-114.91322,2026-06-06,0.0811,14997.5,0.0,16.0,731.003601074,241.2808125145293,1,firms_viirs
36.36004,-114.91277,2026-06-06,0.055200000000000006,15012.5,0.0,16.0,710.588867188,241.2820012704489,1,firms_viirs
37.38922,-120.21478,2026-06-06,0.1645,14542.499999999998,0.0,38.0,170.326873779,187.96645436208414,1,firms_viirs
37.39142,-120.20708,2026-06-06,0.1825,14547.5,0.0,38.0,170.326873779,187.96645436208414,1,firms_viirs
37.39608,-120.20676,2026-06-06,0.17420000000000002,14537.5,0.0,38.0,177.647079468,187.96645436208414,1,firms_viirs
37.39822,-120.19828,2026-06-06,0.1408,14542.499999999998,0.0,38.0,165.392242432,187.96645436208414,1,firms_viirs
40.82013,-114.25762,2026-06-06,0.046400000000000004,14707.499999999998,0.0,17.0,1697.126098633,181.50944072765577,1,firms_viirs
32.49816,-114.97954,2026-06-06,0.14830000000000002,14757.499999999998,0.0,66.0,19.884401321,301.65877032161126,1,firms_viirs
32.56714,-115.52228,2026-06-06,0.1433,14772.5,0.0,74.0,5.005652428,277.670469073639,1,firms_viirs
32.61163,-115.48721,2026-06-06,0.0621,14802.499999999998,0.0,70.0,8.9997015,277.670469073639,1,firms_viirs
33.79398,-117.4761,2026-06-06,0.1071,14317.499999999998,0.0,87.0,372.839477539,216.10842771681223,1,firms_viirs
34.60701,-117.33657,2026-06-06,0.0451,14612.5,0.0,28.0,833.0,227.01420860869533,1,firms_viirs
35.55222,-119.81843,2026-06-06,0.1524,14642.499999999998,0.0,35.0,215.993942261,249.95381389643848,1,firms_viirs
35.66859,-119.35236,2026-06-06,0.3749,14622.5,0.0,41.0,87.210472107,261.96257051762996,1,firms_viirs
34.60703,-117.33788,2026-06-06,0.0468,14607.499999999998,0.0,28.0,833.0,227.01483632626187,1,firms_viirs
36.26221,-120.19181,2026-06-06,0.2736,14512.5,0.0,48.0,115.828117371,272.4533482113064,0,sampled_nofire
33.83576,-114.32248,2026-06-06,0.1019,14952.499999999998,0.0,18.0,266.565734863,296.30160975823844,0,sampled_nofire
37.26445,-119.63437,2026-06-06,0.36910000000000004,14522.5,0.0,41.0,1146.0,95.77238647666998,0,sampled_nofire
35.38816,-122.19273,2026-06-06,0.04754749888200746,14352.499999999998,0.0,85.0,0.0,109.25626650808717,0,sampled_nofire
39.1324,-114.28683,2026-06-06,0.0942,14627.499999999998,0.0,14.0,2080.843994141,161.460156350877,0,sampled_nofire
34.75659,-115.84725,2026-06-06,0.0821,14847.5,0.0,19.0,816.931152344,245.03416092224785,0,sampled_nofire
41.59922,-119.2383,2026-06-06,0.1628,14102.499999999998,0.0,51.0,1908.0,87.76307967381099,0,sampled_nofire
37.19809,-114.31385,2026-06-06,0.11,14687.5,0.0,18.0,1254.632080078,241.48908666208143,0,sampled_nofire
37.37952,-114.51858,2026-06-06,0.1255,14757.499999999998,0.0,17.0,1406.576660156,204.10556890474462,0,sampled_nofire
36.63739,-116.8559,2026-06-06,0.0526,14947.5,0.0,16.0,778.134033203,239.3438980660031,0,sampled_nofire
37.11663,-116.65337,2026-06-06,0.0825,14552.499999999998,0.0,23.0,1369.168945312,208.91644565441166,0,sampled_nofire
